sensor_id,timestamp,pm2_5,pm10,so2,no2,health_environment
3,2025-03-31T15:48:16.372504,75.01,48.42,99.16,259.61,good
3,2025-03-31T15:48:17.373577,201.75,131.58,274.38,46.8,unhealthy
3,2025-03-31T15:48:18.374655,116.52,250.36,237.79,259.61,unhealthy
3,2025-03-31T15:48:19.376149,65.54,110.9,49.12,59.83,good
3,2025-03-31T15:48:20.377208,204.38,134.83,55.51,259.61,moderate
3,2025-03-31T15:48:21.378285,39.21,414.2,27.18,168.65,moderate
3,2025-03-31T15:48:22.379298,7.5,412.24,91.78,393.68,unhealthy
3,2025-03-31T15:48:23.379643,210.27,128.47,135.85,439.55,unhealthy
3,2025-03-31T15:48:24.380716,150.53,462.6,219.13,241.04,unhealthy
3,2025-03-31T15:48:25.381794,111.41,95.4,240.72,168.27,unhealthy
3,2025-03-31T15:48:26.382850,13.37,129.92,152.4,259.61,moderate
3,2025-03-31T15:48:27.383937,73.26,415.13,80.96,162.28,moderate
3,2025-03-31T15:48:28.385013,104.51,487.16,3.98,498.54,unhealthy
3,2025-03-31T15:48:29.386087,151.72,296.48,94.52,348.92,unhealthy
3,2025-03-31T15:48:30.387164,157.94,290.62,26.66,404.55,unhealthy
3,2025-03-31T15:48:31.388706,173.64,264.09,89.42,283.52,unhealthy
3,2025-03-31T15:48:32.389794,118.55,340.67,52.68,395.02,unhealthy
3,2025-03-31T15:48:33.390868,196.39,208.5,179.0,259.61,unhealthy
3,2025-03-31T15:48:34.391929,166.21,267.52,79.92,499.97,unhealthy
3,2025-03-31T15:48:35.393004,244.32,219.69,57.31,453.13,unhealthy
3,2025-03-31T15:48:36.394265,245.82,348.65,56.09,72.76,unhealthy
3,2025-03-31T15:48:37.395339,24.74,29.75,250.71,259.61,moderate
3,2025-03-31T15:48:38.396447,210.5,199.24,200.55,4.27,unhealthy
3,2025-03-31T15:48:39.397519,220.93,102.09,115.02,97.3,unhealthy
3,2025-03-31T15:48:40.398586,121.6,202.25,80.03,391.53,unhealthy
3,2025-03-31T15:48:41.399658,54.88,436.04,81.98,279.55,unhealthy
3,2025-03-31T15:48:42.400765,23.0,6.64,8.71,306.56,moderate
3,2025-03-31T15:48:43.401830,153.04,19.5,283.83,33.95,unhealthy
3,2025-03-31T15:48:44.402908,202.33,434.57,174.93,150.81,unhealthy
3,2025-03-31T15:48:45.403974,29.02,155.68,79.82,181.76,moderate
3,2025-03-31T15:48:46.405060,135.17,23.98,223.37,264.05,unhealthy
3,2025-03-31T15:48:47.406123,209.62,237.84,189.68,126.02,unhealthy
3,2025-03-31T15:48:48.407197,125.0,141.42,50.84,360.05,unhealthy
3,2025-03-31T15:48:49.408273,157.59,266.57,128.18,402.4,unhealthy
3,2025-03-31T15:48:50.409348,231.3,73.01,147.61,381.5,unhealthy
3,2025-03-31T15:48:51.410661,55.97,259.62,263.91,35.98,unhealthy
3,2025-03-31T15:48:52.411757,101.47,263.07,72.38,494.4,unhealthy
3,2025-03-31T15:48:53.413280,240.35,32.46,108.45,108.59,unhealthy
3,2025-03-31T15:48:54.414624,180.65,103.56,37.69,135.9,moderate
3,2025-03-31T15:48:55.415799,119.65,248.79,3.04,407.53,unhealthy
3,2025-03-31T15:48:56.417085,131.44,197.39,299.34,259.61,unhealthy
3,2025-03-31T15:48:57.418164,40.26,221.2,67.43,315.87,unhealthy
3,2025-03-31T15:48:58.418771,167.63,332.12,182.58,124.41,unhealthy
3,2025-03-31T15:48:59.420013,173.21,469.4,271.69,230.35,unhealthy
3,2025-03-31T15:49:00.421094,137.47,149.71,9.15,259.61,moderate
3,2025-03-31T15:49:01.422173,134.69,139.67,256.67,259.61,unhealthy
3,2025-03-31T15:49:02.423251,128.36,488.74,110.07,261.04,unhealthy
3,2025-03-31T15:49:03.424310,44.74,61.32,175.89,4.84,moderate
3,2025-03-31T15:49:04.425399,111.42,223.68,171.03,135.7,unhealthy
3,2025-03-31T15:49:05.426465,43.11,299.0,92.51,417.96,unhealthy
3,2025-03-31T15:49:06.427550,41.25,412.42,93.03,225.89,unhealthy
3,2025-03-31T15:49:07.428614,211.0,203.96,13.71,230.37,unhealthy
3,2025-03-31T15:49:08.429682,215.75,87.47,228.11,455.64,unhealthy
3,2025-03-31T15:49:09.430770,25.3,172.09,261.97,74.13,unhealthy
3,2025-03-31T15:49:10.431833,153.14,440.1,63.4,478.06,unhealthy
3,2025-03-31T15:49:11.432989,1.47,357.76,52.74,448.83,unhealthy
