sensor_id,timestamp,temperature,temperature_k,temperature_f,humidity
1,2025-04-08T10:20:30.461524,19.73,292.88,67.51,
1,2025-04-08T10:20:30.473524,18.14,291.28999999999996,64.65,50.2
1,2025-04-08T10:20:30.484524,27.26,300.40999999999997,81.07,49.94
1,2025-04-08T10:20:30.484524,27.26,300.40999999999997,81.07,49.94
1,2025-04-08T10:20:30.494653,25.7,298.84999999999997,78.26,60.38
1,2025-04-08T10:20:30.504829,27.21,300.35999999999996,80.98,53.49
1,2025-04-08T10:20:30.504829,27.21,300.35999999999996,80.98,53.49
1,2025-04-08T10:20:30.515569,25.78,298.92999999999995,78.4,67.33
1,2025-04-08T10:20:30.526576,20.25,293.4,68.45,
1,2025-04-08T10:20:30.526576,20.25,293.4,68.45,
1,2025-04-08T10:20:30.537577,24.16,297.31,75.49,59.8
1,2025-04-08T10:20:30.547713,22.75,295.9,72.95,66.69
1,2025-04-08T10:20:30.547713,22.75,295.9,72.95,66.69
1,2025-04-08T10:20:30.557861,24.74,297.89,76.53,47.11
1,2025-04-08T10:20:30.567923,29.06,302.21,84.31,
1,2025-04-08T10:20:30.567923,29.06,302.21,84.31,
1,2025-04-08T10:20:30.578139,25.5,298.65,77.9,63.44
1,2025-04-08T10:20:30.588349,25.74,298.89,78.33,68.84
1,2025-04-08T10:20:30.588349,25.74,298.89,78.33,68.84
1,2025-04-08T10:20:30.598569,22.6,295.75,72.68,63.0
1,2025-04-08T10:20:30.608693,18.11,291.26,64.6,61.54
1,2025-04-08T10:20:30.608693,18.11,291.26,64.6,61.54
1,2025-04-08T10:20:30.618741,19.07,292.21999999999997,66.33,61.72
1,2025-04-08T10:20:30.629364,19.56,292.71,67.21,64.48
1,2025-04-08T10:20:30.629364,19.56,292.71,67.21,64.48
1,2025-04-08T10:20:30.639500,27.81,300.96,82.06,50.84
1,2025-04-08T10:20:30.649564,27.7,300.84999999999997,81.86,68.21
1,2025-04-08T10:20:30.649564,27.7,300.84999999999997,81.86,68.21
1,2025-04-08T10:20:30.660106,23.29,296.44,73.92,53.01
1,2025-04-08T10:20:30.670712,27.92,301.07,82.26,51.73
1,2025-04-08T10:20:30.670712,27.92,301.07,82.26,51.73
1,2025-04-08T10:20:30.681149,18.1,291.25,64.58,50.27
1,2025-04-08T10:20:30.691290,28.56,301.71,83.41,57.66
1,2025-04-08T10:20:30.691290,28.56,301.71,83.41,57.66
1,2025-04-08T10:20:30.701522,28.68,301.83,83.62,63.08
1,2025-04-08T10:20:30.711667,21.61,294.76,70.9,68.24
1,2025-04-08T10:20:30.711667,21.61,294.76,70.9,68.24
1,2025-04-08T10:20:30.722058,27.8,300.95,82.04,58.45
1,2025-04-08T10:20:30.732430,19.94,293.09,67.89,61.1
1,2025-04-08T10:20:30.732430,19.94,293.09,67.89,61.1
1,2025-04-08T10:20:30.742560,19.58,292.72999999999996,67.24,47.0
1,2025-04-08T10:20:30.752617,22.17,295.32,71.91,56.71
1,2025-04-08T10:20:30.752617,22.17,295.32,71.91,56.71
1,2025-04-08T10:20:30.763176,28.57,301.71999999999997,83.43,52.94
1,2025-04-08T10:20:30.773306,29.13,302.28,84.43,62.44
1,2025-04-08T10:20:30.773306,29.13,302.28,84.43,62.44
1,2025-04-08T10:20:30.783354,26.25,299.4,79.25,65.31
1,2025-04-08T10:20:30.794193,29.74,302.89,85.53,40.58
1,2025-04-08T10:20:30.794193,29.74,302.89,85.53,40.58
1,2025-04-08T10:20:30.804287,22.57,295.71999999999997,72.63,49.8
1,2025-04-08T10:20:30.814500,19.58,292.72999999999996,67.24,
1,2025-04-08T10:20:30.814500,19.58,292.72999999999996,67.24,
1,2025-04-08T10:20:30.825304,23.21,296.35999999999996,73.78,40.44
1,2025-04-08T10:20:30.835351,22.45,295.59999999999997,72.41,50.16
1,2025-04-08T10:20:30.835351,22.45,295.59999999999997,72.41,50.16
1,2025-04-08T10:20:30.846273,21.54,294.69,70.77,
1,2025-04-08T10:20:30.857276,19.89,293.03999999999996,67.8,
1,2025-04-08T10:20:30.857276,19.89,293.03999999999996,67.8,
1,2025-04-08T10:20:30.868280,24.99,298.14,76.98,43.18
1,2025-04-08T10:20:30.878399,18.41,291.56,65.14,61.36
1,2025-04-08T10:20:30.878399,18.41,291.56,65.14,61.36
1,2025-04-08T10:20:30.888618,22.76,295.90999999999997,72.97,47.43
1,2025-04-08T10:20:30.899072,23.22,296.37,73.8,59.27
1,2025-04-08T10:20:30.899072,23.22,296.37,73.8,59.27
1,2025-04-08T10:20:30.909205,27.72,300.87,81.9,65.03
1,2025-04-08T10:20:30.919338,26.81,299.96,80.26,52.39
1,2025-04-08T10:20:30.919338,26.81,299.96,80.26,52.39
1,2025-04-08T10:20:30.929695,22.79,295.94,73.02,59.24
1,2025-04-08T10:20:30.939830,26.1,299.25,78.98,
1,2025-04-08T10:20:30.939830,26.1,299.25,78.98,
1,2025-04-08T10:20:30.949923,26.73,299.88,80.11,63.86
1,2025-04-08T10:20:30.960390,24.37,297.52,75.87,61.71
1,2025-04-08T10:20:30.960390,24.37,297.52,75.87,61.71
1,2025-04-08T10:20:30.970481,25.75,298.9,78.35,
1,2025-04-08T10:20:30.980750,20.94,294.09,69.69,49.37
1,2025-04-08T10:20:30.980750,20.94,294.09,69.69,49.37
1,2025-04-08T10:20:30.990885,28.12,301.27,82.62,42.06
1,2025-04-08T10:20:31.001103,25.21,298.35999999999996,77.38,48.33
1,2025-04-08T10:20:31.001103,25.21,298.35999999999996,77.38,48.33
1,2025-04-08T10:20:31.011910,27.02,300.16999999999996,80.64,
1,2025-04-08T10:20:31.022202,20.08,293.22999999999996,68.14,47.42
1,2025-04-08T10:20:31.022202,20.08,293.22999999999996,68.14,47.42
1,2025-04-08T10:20:31.032414,27.27,300.41999999999996,81.09,58.7
1,2025-04-08T10:20:31.042927,20.37,293.52,68.67,46.22
1,2025-04-08T10:20:31.042927,20.37,293.52,68.67,46.22
1,2025-04-08T10:20:31.053003,20.62,293.77,69.12,62.73
1,2025-04-08T10:20:31.063174,22.18,295.33,71.92,
1,2025-04-08T10:20:31.063174,22.18,295.33,71.92,
1,2025-04-08T10:20:31.073686,22.44,295.59,72.39,59.91
1,2025-04-08T10:20:31.083760,22.23,295.38,72.01,68.39
1,2025-04-08T10:20:31.083760,22.23,295.38,72.01,68.39
1,2025-04-08T10:20:31.093887,29.93,303.08,85.87,67.03
1,2025-04-08T10:20:31.104854,25.88,299.03,78.58,49.08
1,2025-04-08T10:20:31.104854,25.88,299.03,78.58,49.08
1,2025-04-08T10:20:31.116138,23.77,296.91999999999996,74.79,44.17
1,2025-04-08T10:20:31.126653,23.81,296.96,74.86,44.44
1,2025-04-08T10:20:31.126653,23.81,296.96,74.86,44.44
1,2025-04-08T10:20:31.137654,22.33,295.47999999999996,72.19,
1,2025-04-08T10:20:31.148599,24.89,298.03999999999996,76.8,53.83
1,2025-04-08T10:20:31.148599,24.89,298.03999999999996,76.8,53.83
1,2025-04-08T10:20:31.158753,21.12,294.27,70.02,44.64
1,2025-04-08T10:20:31.168806,23.82,296.96999999999997,74.88,
1,2025-04-08T10:20:31.168806,23.82,296.96999999999997,74.88,
1,2025-04-08T10:20:31.178928,29.41,302.56,84.94,53.75
1,2025-04-08T10:20:31.189076,18.21,291.35999999999996,64.78,59.09
1,2025-04-08T10:20:31.189076,18.21,291.35999999999996,64.78,59.09
1,2025-04-08T10:20:31.199178,20.51,293.65999999999997,68.92,55.17
1,2025-04-08T10:20:31.209306,29.12,302.27,84.42,57.08
1,2025-04-08T10:20:31.209306,29.12,302.27,84.42,57.08
1,2025-04-08T10:20:31.219349,25.01,298.15999999999997,77.02,41.68
1,2025-04-08T10:20:31.229682,21.49,294.64,70.68,59.96
1,2025-04-08T10:20:31.229682,21.49,294.64,70.68,59.96
1,2025-04-08T10:20:31.239836,27.35,300.5,81.23,49.9
1,2025-04-08T10:20:31.250684,24.11,297.26,75.4,
1,2025-04-08T10:20:31.250684,24.11,297.26,75.4,
1,2025-04-08T10:20:31.260841,22.21,295.35999999999996,71.98,48.94
1,2025-04-08T10:20:31.270899,25.56,298.71,78.01,55.36
1,2025-04-08T10:20:31.270899,25.56,298.71,78.01,55.36
1,2025-04-08T10:20:31.281076,20.03,293.17999999999995,68.05,54.01
1,2025-04-08T10:20:31.291622,29.26,302.40999999999997,84.67,
1,2025-04-08T10:20:31.291622,29.26,302.40999999999997,84.67,
1,2025-04-08T10:20:31.301766,18.34,291.48999999999995,65.01,62.29
1,2025-04-08T10:20:31.311912,20.54,293.69,68.97,51.5
1,2025-04-08T10:20:31.311912,20.54,293.69,68.97,51.5
1,2025-04-08T10:20:31.322789,29.61,302.76,85.3,46.25
1,2025-04-08T10:20:31.333009,23.05,296.2,73.49,61.48
1,2025-04-08T10:20:31.333009,23.05,296.2,73.49,61.48
1,2025-04-08T10:20:31.343160,29.95,303.09999999999997,85.91,68.26
1,2025-04-08T10:20:31.353507,21.45,294.59999999999997,70.61,69.22
1,2025-04-08T10:20:31.353507,21.45,294.59999999999997,70.61,69.22
1,2025-04-08T10:20:31.364502,28.56,301.71,83.41,40.67
1,2025-04-08T10:20:31.375139,26.81,299.96,80.26,
1,2025-04-08T10:20:31.375139,26.81,299.96,80.26,
1,2025-04-08T10:20:31.385380,24.53,297.67999999999995,76.15,44.52
1,2025-04-08T10:20:31.395505,24.85,298.0,76.73,51.9
1,2025-04-08T10:20:31.395505,24.85,298.0,76.73,51.9
1,2025-04-08T10:20:31.406516,23.4,296.54999999999995,74.12,51.49
1,2025-04-08T10:20:31.417558,27.08,300.22999999999996,80.74,63.39
1,2025-04-08T10:20:31.417558,27.08,300.22999999999996,80.74,63.39
1,2025-04-08T10:20:31.428559,19.0,292.15,66.2,
1,2025-04-08T10:20:31.439138,18.34,291.48999999999995,65.01,
1,2025-04-08T10:20:31.439138,18.34,291.48999999999995,65.01,
1,2025-04-08T10:20:31.449574,19.43,292.58,66.97,55.04
1,2025-04-08T10:20:31.459701,18.23,291.38,64.81,60.22
1,2025-04-08T10:20:31.459701,18.23,291.38,64.81,60.22
1,2025-04-08T10:20:31.469826,19.43,292.58,66.97,54.8
1,2025-04-08T10:20:31.480484,24.09,297.23999999999995,75.36,53.73
1,2025-04-08T10:20:31.480484,24.09,297.23999999999995,75.36,53.73
1,2025-04-08T10:20:31.490617,29.51,302.65999999999997,85.12,57.06
